Fri Jan 13 08:01:41 2023 -- Circle found centered at image coordinates: x = 1510, y = 173
Fri Jan 13 08:01:41 2023 -- Circle found centered at image coordinates: x = 1510, y = 153
Fri Jan 13 08:01:42 2023 -- Circle found centered at image coordinates: x = 1490, y = 154
Fri Jan 13 08:01:42 2023 -- Circle found centered at image coordinates: x = 1470, y = 153
Fri Jan 13 08:01:43 2023 -- Circle found centered at image coordinates: x = 1450, y = 154
Fri Jan 13 08:01:43 2023 -- Circle found centered at image coordinates: x = 1430, y = 153
Fri Jan 13 08:01:43 2023 -- Circle found centered at image coordinates: x = 1430, y = 133
Fri Jan 13 08:01:43 2023 -- Circle found centered at image coordinates: x = 1430, y = 113
Fri Jan 13 08:01:44 2023 -- Circle found centered at image coordinates: x = 1410, y = 114
Fri Jan 13 08:01:44 2023 -- Circle found centered at image coordinates: x = 1390, y = 113
Fri Jan 13 08:01:44 2023 -- Circle found centered at image coordinates: x = 1370, y = 114
Fri Jan 13 08:01:45 2023 -- Circle found centered at image coordinates: x = 1350, y = 113
Fri Jan 13 08:01:45 2023 -- Circle found centered at image coordinates: x = 1330, y = 114
Fri Jan 13 08:01:45 2023 -- Circle found centered at image coordinates: x = 1330, y = 93
Fri Jan 13 08:01:46 2023 -- Circle found centered at image coordinates: x = 1310, y = 94
Fri Jan 13 08:01:49 2023 -- Circle found centered at image coordinates: x = 1290, y = 93
Fri Jan 13 08:01:49 2023 -- Circle found centered at image coordinates: x = 1270, y = 94
Fri Jan 13 08:01:50 2023 -- Circle found centered at image coordinates: x = 1250, y = 93
Fri Jan 13 08:01:50 2023 -- Circle found centered at image coordinates: x = 1230, y = 94
Fri Jan 13 08:01:50 2023 -- Circle found centered at image coordinates: x = 1210, y = 93
Fri Jan 13 08:01:50 2023 -- Circle found centered at image coordinates: x = 1210, y = 113
Fri Jan 13 08:01:51 2023 -- Circle found centered at image coordinates: x = 1210, y = 133
Fri Jan 13 08:01:51 2023 -- Circle found centered at image coordinates: x = 1210, y = 153
Fri Jan 13 08:01:51 2023 -- Circle found centered at image coordinates: x = 1210, y = 173
Fri Jan 13 08:01:51 2023 -- Circle found centered at image coordinates: x = 1210, y = 193
